,generated_headline,headline
176,"Doyne started the BlinkNow Foundation to raise more than 50 children. She says it's important to keep a child with their family if at all possible. Doyne: ""It has to be slow; it has to be organic""","Nepal civil war aftermath inspired Maggie Doyne to help children .
Doyne's BlinkNow Foundation supports a home for 50 children and a school that educates hundreds more.
Do you know a hero? Nominations are open for 2015 CNN Heroes ."
177,"a quarter of a million Australian homes and businesses have no power after a ""once in a decade"" storm battered Sydney and nearby areas. About 4,500 people have been isolated by flood waters as ""the roads are cut off"" The storm system also brought destructive flooding that washed away houses and brought down trees.","Quarter million people without power in Sydney and nearby areas .
A large storm system brought damaging winds and flooding to parts of Australia .
The flooding is affecting public transportation services, residential and coastal areas ."
178,"Cathay Pacific was forced to cancel a scheduled flight from London to Hong Kong. The pilot, who has not been identified, was arrested after trying to board the airliner with knives in his luggage.","Pilot stopped during security checks as the flight prepared to depart on Saturday night .
Cathay Pacific runs regular flights between its Hong Kong hub and London .
The male pilot has been bailed pending an investigation ."
179,"Food and Drug Administration report lists recalled items with their product codes. The recall is not based on the use-by dates, according to Professor John Swartzberg. ""There's nothing the consumer can do prior to learning about the recall,"" Dr. Swartzberg says.","Find the FDA's official report for the recalled product .
If the product is within the use-by date, it should still be recalled ."
180,"a military source says Kenya launched airstrikes targeting the al-Shabaab base in Garissa. A local journalist asks not to be named out of fear for his safety. Mohamud is ""credited with having an extensive terrorist network within Kenya,"" official says.","""We did everything that we could do,"" Kenya's foreign minister says .
Despite intelligence, rapid response team stuck in Nairobi for hours after massacre, official says .
Al-Shabaab's Mohamed Mohamud ""has a lot of grudges against the Kenyans,"" expert says ."
181,Gisele Bundchen announced over the weekend that she would retire from the catwalk. The 34-year-old has said she wants to spend more time with her family. Bundchen is married to New England Patriots quarterback Tom Brady and has two children.,"Gisele Bundchen walked the runway for the last time Wednesday night in Brazil .
The supermodel announced her retirement from runway modeling over the weekend .
She plans to continue working in other facets of the industry ."
182,"#KylieJennerChallenge has been trending on Twitter in recent days, with posters showing off the results. In 2014, the number of women undergoing ""buttock augmentation"" rose by 86%, according to the American Society for Aesthetic Plastic Surgery Reports.","From belfies to butt implants, the Kardashian clan has inspired many a trend .
The latest: Kylie Jenner's pouty lips spark the #KylieJennerChallenge ."
183,"a recent study estimates that up to 10 million gallons of oil is still on the seafloor of the Gulf. A group of elementary school students was horrified and upset by what was happening in the Gulf. ""We must continue to make the same mistakes with a ""business as usual"" approach,"" she says.","""Out of sight, out of mind"" doesn't apply to communities along the Gulf of Mexico, Philippe Cousteau says .
We must take the time and effort needed to understand our natural resources, he says .
He says our understanding of how the Gulf works remains limited ."
184,"former school principal Yuhei Takashima says he paid for sex with more than 12,000 women. Police say he photographed an obscene act with a girl of 13 or 14. He told police that stepping outside of moral codes relieved the pressure he felt at work.","Police: Yuhei Takashima, 64, says he had sex with girls as young as 14 in Philippines .
Officers seize nearly 150,000 photos that the former principal kept of his activities ."
185,"U.S. must rethink the role of manned submarines and prioritize new underwater detection techniques. Chinese submarines are still technologically inferior to those used by the United States, but margin of difference is shrinking.","U.S. Navy is developing an unmanned drone ship to track enemy submarines to limit their tactical capacity for surprise .
The vessel would be able to operate under with little supervisory control .
Advances are necessary to maintain technological edge on Russia and China, admiral tells House panel ."
186,Riyadh and its regional allies have good reasons to want to stop the Yemeni crisis from spiraling out of control. Ayatollah Ali-Akbar Hashemi Rafsanjani says Iran is willing to support Saudi airstrikes in Yemen.,"Vatanka: Tensions between Iran and Saudi Arabia are at an unprecedented level .
Iran has proposed a four-point plan for Yemen but Saudis have ignored it .
Vatanka: Saudis have tried to muster a ground invasion coalition but have failed ."
187,"Britain's elections are run on a ""first-past-the-post"" basis. The election could result in the handing of power from David Cameron to the Labour Party. Conservatives claimed 307 with just 10.7 million votes at the last election.","Everything you need to know about how the UK election really works .
Things like: The candidates, the issues, who's likely to win, the importance of bacon sandwiches .
Plus, if the Queen isn't in charge, what does she do?"
188,"liberals have found more political space to move forward with their initiatives, he says. He says many liberals are uneasy about embracing the ""functionality of politics""","Julian Zelizer: Washington is gridlocked and leans conservative .
But liberals can launch social programs at lower levels, Zelizer says .
Trying programs out locally can set groundwork for Washington action in coming years, he says ."
189,"ringside tickets have sold out, but some are still floating around on secondary sites. Tickets were released last Thursday, just eight days before one of the biggest fights in history. The most expensive ticket was retailing for $128,705 but has skyrocketed.","Tickets for Mayweather v Pacquiao on sale online for $180,000 .
Majority of the 1,000 tickets for the general public snapped up within minutes .
The fight in Las Vegas on May 2 is one of the biggest in the sport's history ."
190,"a Dallas Zoo giraffe gave birth to a not-so-little baby in an hour-long labor. ""We're so proud,"" the zoo tweets. The zoo says she is one of the only giraffes at the Dallas Zoo who can stick her tongue out on cue.","Animal Planet captures Katie the giraffe's labor and delivery .
The new baby wiggles its ears, rises, tries to nurse from its mom ."
191,"Congressional Black Caucus chairman: ""I think race certainly can be considered as a major factor in this delay"" Democratic senators say the delay is part of an ongoing partisan battle over human trafficking. Some North Carolina women have rallied for Lynch's confirmation.","The nomination of Loretta Lynch as U.S. attorney general was announced in November .
She would be the country's first African-American woman attorney general .
But as her confirmation process drags on, her supporters wonder why ."
192,"armed assailants storm the attorney general's office in Balkh province, northern Afghanistan. Two police officers and a security guard among the dead.","Three people killed; five wounded in attack on attorney general's office in Balkh province .
Staff and civilians have been rescued as gunmen engaged Afghan security forces ."
193,"Bob Barker hosted ""The Price Is Right"" for the first time in eight years. Drew Carey finished up on the April 1 edition of ""The Price Is Right""","Bob Barker returned to host ""The Price Is Right"" on Wednesday .
Barker, 91, had retired as host in 2007 ."
194,"ESPN's Britt McHenry posted a video showing her belittling an employee of a tow company in Arlington, Virginia. The #firebrittmchenry hashtag was already trending on Twitter, where she was called everything from classist, class-less, and self-hating coward.","Video shows ESPN reporter Britt McHenry berating and belittling a tow company worker .
Drexler: She was wrong to act that way, but aren't we too quick to judge without seeing full video?"
195,"""I'm feeling much better and am leaving the hospital today,"" Claudette King says. King is short for Blues Boy, part of the name he used as a Memphis disc jockey. He was inducted into the Rock and Roll Hall of Fame in 1987.","B.B King is now out of the hospital and back at home .
Bluesman suffered from dehydration and exhaustion after a 2014 show in Chicago .
B.B. is short for Blues Boy, part of the name he used as a Memphis disc jockey ."
196,"Hernandez smiles at relatives as he walks into court each day with what appears to be an air of confidence. ""Downward Spiral: Inside the Case against Aaron Hernandez"" begins tonight at 9 p.m. ET. Hernandez has been representing his family since June 2013.","Aaron Hernandez, even when on trial for murder, keeps that certain bounce in his step .
Hernandez seemed to watch his former boss and fiancee closely when they were on the stand ."
197,"This page includes the show Transcript. Use the Transcript to help students with reading comprehension and vocabulary. At the bottom of the page, comment for a chance to be mentioned on CNN Student News. You must be a teacher or a student age 13 or older to request a mention on","This page includes the show Transcript .
Use the Transcript to help students with reading comprehension and vocabulary .
At the bottom of the page, comment for a chance to be mentioned on CNN Student News.  You must be a teacher or a student age 13 or older to request a mention on the CNN Student News Roll Call."
198,"Listeria monocytogenes can cause serious and sometimes fatal infections in young children, frail or elderly people. So far, no illnesses caused by the hummus have been reported.","A random sample from a Michigan store tested positive for Listeria monocytogenes .
No illnesses caused by the hummus have been reported so far ."
199,"Kentucky Wildcats beat Wisconsin Badgers 71-64 in NCAA men's basketball Final Four. The Blue Devils rallied for a tough 71-64 victory at the hands of the Wisconsin Badgers. ""We just kept battling on every possession,"" coach Bo Ryan says.","Wisconsin, which last won a title in 1941, was led by birthday boy Frank Kaminsky .
Justise Winslow leads Duke with 19 points, while Jahlil Okafor has 18 .
Coach K says his team's defense was ""terrific"""
